"","year","block","plot_letter","plot_number","round","species_long","species_flarea","block_plot","block_plot_round","block_plot_round_year","species_block_plot_round_year"
"1",1,1,"A",13,3,"Achillea_millefolium",25.4845996059204,"1,A,13","1,A,13,3","1,A,13,3,1","Achillea_millefolium,1,A,13,3,1"
"2",1,1,"A",3,3,"Achillea_millefolium",19.1134497044403,"1,A,3","1,A,3,3","1,A,3,3,1","Achillea_millefolium,1,A,3,3,1"
"3",1,1,"B",1,3,"Achillea_millefolium",1.06185831691335,"1,B,1","1,B,1,3","1,B,1,3,1","Achillea_millefolium,1,B,1,3,1"
"4",1,1,"B",5,3,"Achillea_millefolium",0.84948665353068,"1,B,5","1,B,5,3","1,B,5,3,1","Achillea_millefolium,1,B,5,3,1"
"5",1,1,"D",11,3,"Achillea_millefolium",4.67217659441874,"1,D,11","1,D,11,3","1,D,11,3,1","Achillea_millefolium,1,D,11,3,1"
"6",1,1,"D",12,3,"Achillea_millefolium",1.27422998029602,"1,D,12","1,D,12,3","1,D,12,3,1","Achillea_millefolium,1,D,12,3,1"
"7",1,1,"D",14,3,"Achillea_millefolium",0.21237166338267,"1,D,14","1,D,14,3","1,D,14,3,1","Achillea_millefolium,1,D,14,3,1"
"8",1,1,"D",2,3,"Achillea_millefolium",20.1753080213537,"1,D,2","1,D,2,3","1,D,2,3,1","Achillea_millefolium,1,D,2,3,1"
"9",1,1,"D",4,3,"Achillea_millefolium",1.27422998029602,"1,D,4","1,D,4,3","1,D,4,3,1","Achillea_millefolium,1,D,4,3,1"
"10",1,1,"D",8,3,"Achillea_millefolium",28.4578028932778,"1,D,8","1,D,8,3","1,D,8,3,1","Achillea_millefolium,1,D,8,3,1"
"11",1,2,"A",3,3,"Achillea_millefolium",3.39794661412272,"2,A,3","2,A,3,3","2,A,3,3,1","Achillea_millefolium,2,A,3,3,1"
"12",1,2,"A",6,3,"Achillea_millefolium",3.61031827750539,"2,A,6","2,A,6,3","2,A,6,3,1","Achillea_millefolium,2,A,6,3,1"
"13",1,2,"B",14,3,"Achillea_millefolium",3.39794661412272,"2,B,14","2,B,14,3","2,B,14,3,1","Achillea_millefolium,2,B,14,3,1"
"14",1,2,"B",15,3,"Achillea_millefolium",3.18557495074005,"2,B,15","2,B,15,3","2,B,15,3,1","Achillea_millefolium,2,B,15,3,1"
"15",1,2,"B",4,3,"Achillea_millefolium",18.4763347142923,"2,B,4","2,B,4,3","2,B,4,3,1","Achillea_millefolium,2,B,4,3,1"
"16",1,2,"B",4,4,"Achillea_millefolium",14.2289014466389,"2,B,4","2,B,4,4","2,B,4,4,1","Achillea_millefolium,2,B,4,4,1"
"17",1,2,"B",7,3,"Achillea_millefolium",1.69897330706136,"2,B,7","2,B,7,3","2,B,7,3,1","Achillea_millefolium,2,B,7,3,1"
"18",1,2,"B",8,3,"Achillea_millefolium",0.42474332676534,"2,B,8","2,B,8,3","2,B,8,3,1","Achillea_millefolium,2,B,8,3,1"
"19",1,2,"C",10,3,"Achillea_millefolium",23.3608829720937,"2,C,10","2,C,10,3","2,C,10,3,1","Achillea_millefolium,2,C,10,3,1"
"20",1,2,"C",10,4,"Achillea_millefolium",1.06185831691335,"2,C,10","2,C,10,4","2,C,10,4,1","Achillea_millefolium,2,C,10,4,1"
"21",1,2,"C",11,3,"Achillea_millefolium",8.4948665353068,"2,C,11","2,C,11,3","2,C,11,3,1","Achillea_millefolium,2,C,11,3,1"
"22",1,2,"C",11,5,"Achillea_millefolium",2.97320328735738,"2,C,11","2,C,11,5","2,C,11,5,1","Achillea_millefolium,2,C,11,5,1"
"23",1,2,"C",12,3,"Achillea_millefolium",6.15877823809743,"2,C,12","2,C,12,3","2,C,12,3,1","Achillea_millefolium,2,C,12,3,1"
"24",1,2,"C",13,3,"Achillea_millefolium",1.69897330706136,"2,C,13","2,C,13,3","2,C,13,3,1","Achillea_millefolium,2,C,13,3,1"
"25",1,2,"C",2,3,"Achillea_millefolium",21.4495380016497,"2,C,2","2,C,2,3","2,C,2,3,1","Achillea_millefolium,2,C,2,3,1"
"26",1,2,"C",4,3,"Achillea_millefolium",1.91134497044403,"2,C,4","2,C,4,3","2,C,4,3,1","Achillea_millefolium,2,C,4,3,1"
"27",1,2,"C",5,3,"Achillea_millefolium",1.91134497044403,"2,C,5","2,C,5,3","2,C,5,3,1","Achillea_millefolium,2,C,5,3,1"
"28",1,2,"C",7,3,"Achillea_millefolium",1.06185831691335,"2,C,7","2,C,7,3","2,C,7,3,1","Achillea_millefolium,2,C,7,3,1"
"29",1,2,"C",9,3,"Achillea_millefolium",4.03506160427073,"2,C,9","2,C,9,3","2,C,9,3,1","Achillea_millefolium,2,C,9,3,1"
"30",1,2,"D",11,3,"Achillea_millefolium",3.82268994088806,"2,D,11","2,D,11,3","2,D,11,3,1","Achillea_millefolium,2,D,11,3,1"
"31",1,2,"D",13,3,"Achillea_millefolium",0.42474332676534,"2,D,13","2,D,13,3","2,D,13,3,1","Achillea_millefolium,2,D,13,3,1"
"32",1,2,"D",13,4,"Achillea_millefolium",2.1237166338267,"2,D,13","2,D,13,4","2,D,13,4,1","Achillea_millefolium,2,D,13,4,1"
